fn_name,parameters,description,return_statement,c_implementation
avl_tree_node_replace,"AVLTree *tree, AVLTreeNode *node1, AVLTreeNode *node2",,new_root | node,"static void avl_tree_node_replace(AVLTree *tree, AVLTreeNode *node1,
                                  AVLTreeNode *node2)
{
	int side;

	/* Set the node's parent pointer. */
	if (node2 != NULL) {
		node2->parent = node1->parent;
	}

	/* The root node? */
	if (node1->parent == NULL) {
		tree->root_node = node2;
	} else {
		side = avl_tree_node_parent_side(node1);
		node1->parent->children[side] = node2;

		avl_tree_update_height(node1->parent);
	}
}

/* Rotate a section of the tree.  'node' is the node at the top
 * of the section to be rotated.  'direction' is the direction in
 * which to rotate the tree: left or right, as shown in the following
 * diagram:
 *
 * Left rotation:              Right rotation:
 *
 *      B                             D
 *     / \                           / \
 *    A   D                         B   E
 *       / \                       / \
 *      C   E                     A   C

 * is rotated to:              is rotated to:
 *
 *        D                           B
 *       / \                         / \
 *      B   E                       A   D
 *     / \                             / \
 *    A   C                           C   E
 */
static AVLTreeNode *avl_tree_rotate(AVLTree *tree, AVLTreeNode *node,
                                    AVLTreeNodeSide direction)
{
	AVLTreeNode *new_root;

	/* The child of this node will take its place:
	   for a left rotation, it is the right child, and vice versa. */
	new_root = node->children[1 - direction];

	/* Make new_root the root, update parent pointers. */
	avl_tree_node_replace(tree, node, new_root);

	/* Rearrange pointers */
	node->children[1 - direction] = new_root->children[direction];
	new_root->children[direction] = node;

	/* Update parent references */
	node->parent = new_root;

	if (node->children[1 - direction] != NULL) {
		node->children[1 - direction]->parent = node;
	}

	/* Update heights of the affected nodes */
	avl_tree_update_height(new_root);
	avl_tree_update_height(node);

	return new_root;
}

/* Balance a particular tree node.
 *
 * Returns the root node of the new subtree which is replacing the
 * old one. */
static AVLTreeNode *avl_tree_node_balance(AVLTree *tree, AVLTreeNode *node)
{
	AVLTreeNode *left_subtree;
	AVLTreeNode *right_subtree;
	AVLTreeNode *child;
	int diff;

	left_subtree = node->children[AVL_TREE_NODE_LEFT];
	right_subtree = node->children[AVL_TREE_NODE_RIGHT];

	/* Check the heights of the child trees.  If there is an unbalance
	 * (difference between left and right > 2), then rotate nodes
	 * around to fix it */
	diff = avl_tree_subtree_height(right_subtree) -
	       avl_tree_subtree_height(left_subtree);

	if (diff >= 2) {

		/* Biased toward the right side too much. */
		child = right_subtree;

		if (avl_tree_subtree_height(
		        child->children[AVL_TREE_NODE_RIGHT]) <
		    avl_tree_subtree_height(
		        child->children[AVL_TREE_NODE_LEFT])) {

			/* If the right child is biased toward the left
			 * side, it must be rotated right first (double
			 * rotation) */
			avl_tree_rotate(tree, right_subtree,
			                AVL_TREE_NODE_RIGHT);
		}

		/* Perform a left rotation.  After this, the right child will
		 * take the place of this node.  Update the node pointer. */
		node = avl_tree_rotate(tree, node, AVL_TREE_NODE_LEFT);

	} else if (diff <= -2) {

		/* Biased toward the left side too much. */
		child = node->children[AVL_TREE_NODE_LEFT];

		if (avl_tree_subtree_height(
		        child->children[AVL_TREE_NODE_LEFT]) <
		    avl_tree_subtree_height(
		        child->children[AVL_TREE_NODE_RIGHT])) {

			/* If the left child is biased toward the right
			 * side, it must be rotated right left (double
			 * rotation) */
			avl_tree_rotate(tree, left_subtree, AVL_TREE_NODE_LEFT);
		}

		/* Perform a right rotation.  After this, the left child will
		 * take the place of this node.  Update the node pointer. */
		node = avl_tree_rotate(tree, node, AVL_TREE_NODE_RIGHT);
	}

	/* Update the height of this node */
	avl_tree_update_height(node);

	return node;
}

/* Walk up the tree from the given node, performing any needed rotations */
static void avl_tree_balance_to_root(AVLTree *tree, AVLTreeNode *node)
{
	AVLTreeNode *rover;

	rover = node;

	while (rover != NULL) {

		/* Balance this node if necessary */
		rover = avl_tree_node_balance(tree, rover);

		/* Go to this node's parent */
		rover = rover->parent;
	}"
avl_tree_balance_to_root,"AVLTree *tree, AVLTreeNode *node",,"NULL | new_node | result | 0 | 1 | this node */
			return node | avl_tree_null_value | node->value | tree->root_node | node->key | node->children[side] | node->parent | tree->num_nodes | array","static void avl_tree_balance_to_root(AVLTree *tree, AVLTreeNode *node)
{
	AVLTreeNode *rover;

	rover = node;

	while (rover != NULL) {

		/* Balance this node if necessary */
		rover = avl_tree_node_balance(tree, rover);

		/* Go to this node's parent */
		rover = rover->parent;
	}
}

AVLTreeNode *avl_tree_insert(AVLTree *tree, AVLTreeKey key, AVLTreeValue value)
{
	AVLTreeNode **rover;
	AVLTreeNode *new_node;
	AVLTreeNode *previous_node;

	/* Walk down the tree until we reach a NULL pointer */
	rover = &tree->root_node;
	previous_node = NULL;

	while (*rover != NULL) {
		previous_node = *rover;
		if (tree->compare_func(key, (*rover)->key) < 0) {
			rover = &((*rover)->children[AVL_TREE_NODE_LEFT]);
		} else {
			rover = &((*rover)->children[AVL_TREE_NODE_RIGHT]);
		}
	}

	/* Create a new node.  Use the last node visited as the parent link. */
	new_node = (AVLTreeNode *) malloc(sizeof(AVLTreeNode));

	if (new_node == NULL) {
		return NULL;
	}

	new_node->children[AVL_TREE_NODE_LEFT] = NULL;
	new_node->children[AVL_TREE_NODE_RIGHT] = NULL;
	new_node->parent = previous_node;
	new_node->key = key;
	new_node->value = value;
	new_node->height = 1;

	/* Insert at the NULL pointer that was reached */
	*rover = new_node;

	/* Rebalance the tree, starting from the previous node. */
	avl_tree_balance_to_root(tree, previous_node);

	/* Keep track of the number of entries */
	++tree->num_nodes;

	return new_node;
}

/* Find the nearest node to the given node, to replace it.
 * The node returned is unlinked from the tree.
 * Returns NULL if the node has no children. */
static AVLTreeNode *avl_tree_node_get_replacement(AVLTree *tree,
                                                  AVLTreeNode *node)
{
	AVLTreeNode *left_subtree;
	AVLTreeNode *right_subtree;
	AVLTreeNode *result;
	AVLTreeNode *child;
	int left_height, right_height;
	int side;

	left_subtree = node->children[AVL_TREE_NODE_LEFT];
	right_subtree = node->children[AVL_TREE_NODE_RIGHT];

	/* No children? */
	if (left_subtree == NULL && right_subtree == NULL) {
		return NULL;
	}

	/* Pick a node from whichever subtree is taller.  This helps to
	 * keep the tree balanced. */
	left_height = avl_tree_subtree_height(left_subtree);
	right_height = avl_tree_subtree_height(right_subtree);

	if (left_height < right_height) {
		side = AVL_TREE_NODE_RIGHT;
	} else {
		side = AVL_TREE_NODE_LEFT;
	}

	/* Search down the tree, back towards the center. */
	result = node->children[side];

	while (result->children[1 - side] != NULL) {
		result = result->children[1 - side];
	}

	/* Unlink the result node, and hook in its remaining child
	 * (if it has one) to replace it. */
	child = result->children[side];
	avl_tree_node_replace(tree, result, child);

	/* Update the subtree height for the result node's old parent. */
	avl_tree_update_height(result->parent);

	return result;
}

/* Remove a node from a tree */
void avl_tree_remove_node(AVLTree *tree, AVLTreeNode *node)
{
	AVLTreeNode *swap_node;
	AVLTreeNode *balance_startpoint;
	int i;

	/* The node to be removed must be swapped with an ""adjacent""
	 * node, ie. one which has the closest key to this one. Find
	 * a node to swap with. */
	swap_node = avl_tree_node_get_replacement(tree, node);

	if (swap_node == NULL) {

		/* This is a leaf node and has no children, therefore
		 * it can be immediately removed. */
		/* Unlink this node from its parent. */
		avl_tree_node_replace(tree, node, NULL);

		/* Start rebalancing from the parent of the original node */
		balance_startpoint = node->parent;

	} else {
		/* We will start rebalancing from the old parent of the
		 * swap node.  Sometimes, the old parent is the node we
		 * are removing, in which case we must start rebalancing
		 * from the swap node. */
		if (swap_node->parent == node) {
			balance_startpoint = swap_node;
		} else {
			balance_startpoint = swap_node->parent;
		}

		/* Copy references in the node into the swap node */
		for (i = 0; i < 2; ++i) {
			swap_node->children[i] = node->children[i];

			if (swap_node->children[i] != NULL) {
				swap_node->children[i]->parent = swap_node;
			}
		}

		swap_node->height = node->height;

		/* Link the parent's reference to this node */
		avl_tree_node_replace(tree, node, swap_node);
	}

	/* Destroy the node */
	free(node);

	/* Keep track of the number of nodes */
	--tree->num_nodes;

	/* Rebalance the tree */
	avl_tree_balance_to_root(tree, balance_startpoint);
}

/* Remove a node by key */
int avl_tree_remove(AVLTree *tree, AVLTreeKey key)
{
	AVLTreeNode *node;

	/* Find the node to remove */
	node = avl_tree_lookup_node(tree, key);

	if (node == NULL) {
		/* Not found in tree */
		return 0;
	}

	/* Remove the node */
	avl_tree_remove_node(tree, node);

	return 1;
}

AVLTreeNode *avl_tree_lookup_node(AVLTree *tree, AVLTreeKey key)
{
	AVLTreeNode *node;
	int diff;

	/* Search down the tree and attempt to find the node which
	 * has the specified key */
	node = tree->root_node;

	while (node != NULL) {

		diff = tree->compare_func(key, node->key);

		if (diff == 0) {

			/* Keys are equal: return this node */
			return node;

		} else if (diff < 0) {
			node = node->children[AVL_TREE_NODE_LEFT];
		} else {
			node = node->children[AVL_TREE_NODE_RIGHT];
		}
	}

	/* Not found */
	return NULL;
}

AVLTreeValue avl_tree_lookup(AVLTree *tree, AVLTreeKey key)
{
	AVLTreeNode *node;

	/* Find the node */
	node = avl_tree_lookup_node(tree, key);

	if (node == NULL) {
		return avl_tree_null_value;
	} else {
		return node->value;
	}
}

AVLTreeNode *avl_tree_root_node(AVLTree *tree)
{
	return tree->root_node;
}

AVLTreeKey avl_tree_node_key(AVLTreeNode *node)
{
	return node->key;
}

AVLTreeValue avl_tree_node_value(AVLTreeNode *node)
{
	return node->value;
}

AVLTreeNode *avl_tree_node_child(AVLTreeNode *node, AVLTreeNodeSide side)
{
	if (side == AVL_TREE_NODE_LEFT || side == AVL_TREE_NODE_RIGHT) {
		return node->children[side];
	} else {
		return NULL;
	}
}

AVLTreeNode *avl_tree_node_parent(AVLTreeNode *node)
{
	return node->parent;
}

unsigned int avl_tree_num_entries(AVLTree *tree)
{
	return tree->num_nodes;
}

static void avl_tree_to_array_add_subtree(AVLTreeNode *subtree,
                                          AVLTreeKey *array, int *index)
{
	if (subtree == NULL) {
		return;
	}

	/* Add left subtree first */
	avl_tree_to_array_add_subtree(subtree->children[AVL_TREE_NODE_LEFT],
	                              array, index);

	/* Add this node */
	array[*index] = subtree->key;
	++*index;

	/* Finally add right subtree */
	avl_tree_to_array_add_subtree(subtree->children[AVL_TREE_NODE_RIGHT],
	                              array, index);
}

AVLTreeKey *avl_tree_to_array(AVLTree *tree)
{
	AVLTreeKey *array;
	int index;

	/* Allocate the array */
	array = malloc(sizeof(AVLTreeKey) * tree->num_nodes);

	if (array == NULL) {
		return NULL;
	}

	index = 0;

	/* Add all keys */
	avl_tree_to_array_add_subtree(tree->root_node, array, &index);

	return array;
}"
avl_tree_remove_node,"AVLTree *tree, AVLTreeNode *node",,"0 | 1 | this node */
			return node | NULL | avl_tree_null_value | node->value | tree->root_node | node->key | node->children[side] | node->parent | tree->num_nodes | array","void avl_tree_remove_node(AVLTree *tree, AVLTreeNode *node)
{
	AVLTreeNode *swap_node;
	AVLTreeNode *balance_startpoint;
	int i;

	/* The node to be removed must be swapped with an ""adjacent""
	 * node, ie. one which has the closest key to this one. Find
	 * a node to swap with. */
	swap_node = avl_tree_node_get_replacement(tree, node);

	if (swap_node == NULL) {

		/* This is a leaf node and has no children, therefore
		 * it can be immediately removed. */
		/* Unlink this node from its parent. */
		avl_tree_node_replace(tree, node, NULL);

		/* Start rebalancing from the parent of the original node */
		balance_startpoint = node->parent;

	} else {
		/* We will start rebalancing from the old parent of the
		 * swap node.  Sometimes, the old parent is the node we
		 * are removing, in which case we must start rebalancing
		 * from the swap node. */
		if (swap_node->parent == node) {
			balance_startpoint = swap_node;
		} else {
			balance_startpoint = swap_node->parent;
		}

		/* Copy references in the node into the swap node */
		for (i = 0; i < 2; ++i) {
			swap_node->children[i] = node->children[i];

			if (swap_node->children[i] != NULL) {
				swap_node->children[i]->parent = swap_node;
			}
		}

		swap_node->height = node->height;

		/* Link the parent's reference to this node */
		avl_tree_node_replace(tree, node, swap_node);
	}

	/* Destroy the node */
	free(node);

	/* Keep track of the number of nodes */
	--tree->num_nodes;

	/* Rebalance the tree */
	avl_tree_balance_to_root(tree, balance_startpoint);
}

/* Remove a node by key */
int avl_tree_remove(AVLTree *tree, AVLTreeKey key)
{
	AVLTreeNode *node;

	/* Find the node to remove */
	node = avl_tree_lookup_node(tree, key);

	if (node == NULL) {
		/* Not found in tree */
		return 0;
	}

	/* Remove the node */
	avl_tree_remove_node(tree, node);

	return 1;
}

AVLTreeNode *avl_tree_lookup_node(AVLTree *tree, AVLTreeKey key)
{
	AVLTreeNode *node;
	int diff;

	/* Search down the tree and attempt to find the node which
	 * has the specified key */
	node = tree->root_node;

	while (node != NULL) {

		diff = tree->compare_func(key, node->key);

		if (diff == 0) {

			/* Keys are equal: return this node */
			return node;

		} else if (diff < 0) {
			node = node->children[AVL_TREE_NODE_LEFT];
		} else {
			node = node->children[AVL_TREE_NODE_RIGHT];
		}
	}

	/* Not found */
	return NULL;
}

AVLTreeValue avl_tree_lookup(AVLTree *tree, AVLTreeKey key)
{
	AVLTreeNode *node;

	/* Find the node */
	node = avl_tree_lookup_node(tree, key);

	if (node == NULL) {
		return avl_tree_null_value;
	} else {
		return node->value;
	}
}

AVLTreeNode *avl_tree_root_node(AVLTree *tree)
{
	return tree->root_node;
}

AVLTreeKey avl_tree_node_key(AVLTreeNode *node)
{
	return node->key;
}

AVLTreeValue avl_tree_node_value(AVLTreeNode *node)
{
	return node->value;
}

AVLTreeNode *avl_tree_node_child(AVLTreeNode *node, AVLTreeNodeSide side)
{
	if (side == AVL_TREE_NODE_LEFT || side == AVL_TREE_NODE_RIGHT) {
		return node->children[side];
	} else {
		return NULL;
	}
}

AVLTreeNode *avl_tree_node_parent(AVLTreeNode *node)
{
	return node->parent;
}

unsigned int avl_tree_num_entries(AVLTree *tree)
{
	return tree->num_nodes;
}

static void avl_tree_to_array_add_subtree(AVLTreeNode *subtree,
                                          AVLTreeKey *array, int *index)
{
	if (subtree == NULL) {
		return;
	}

	/* Add left subtree first */
	avl_tree_to_array_add_subtree(subtree->children[AVL_TREE_NODE_LEFT],
	                              array, index);

	/* Add this node */
	array[*index] = subtree->key;
	++*index;

	/* Finally add right subtree */
	avl_tree_to_array_add_subtree(subtree->children[AVL_TREE_NODE_RIGHT],
	                              array, index);
}

AVLTreeKey *avl_tree_to_array(AVLTree *tree)
{
	AVLTreeKey *array;
	int index;

	/* Allocate the array */
	array = malloc(sizeof(AVLTreeKey) * tree->num_nodes);

	if (array == NULL) {
		return NULL;
	}

	index = 0;

	/* Add all keys */
	avl_tree_to_array_add_subtree(tree->root_node, array, &index);

	return array;
}"
avl_tree_remove,"AVLTree *tree, AVLTreeKey key",,0 | 1,"int avl_tree_remove(AVLTree *tree, AVLTreeKey key)
{
	AVLTreeNode *node;

	/* Find the node to remove */
	node = avl_tree_lookup_node(tree, key);

	if (node == NULL) {
		/* Not found in tree */
		return 0;
	}

	/* Remove the node */
	avl_tree_remove_node(tree, node);

	return 1;
}"
avl_tree_to_array_add_subtree,"AVLTreeNode *subtree, AVLTreeKey *array, int *index",,null,"
static void avl_tree_to_array_add_subtree(AVLTreeNode *subtree,
                                          AVLTreeKey *array, int *index)
{
	if (subtree == NULL) {
		return;
	}

	/* Add left subtree first */
	avl_tree_to_array_add_subtree(subtree->children[AVL_TREE_NODE_LEFT],
	                              array, index);

	/* Add this node */
	array[*index] = subtree->key;
	++*index;

	/* Finally add right subtree */
	avl_tree_to_array_add_subtree(subtree->children[AVL_TREE_NODE_RIGHT],
	                              array, index);
}"
binary_heap_cmp,"BinaryHeap *heap, BinaryHeapValue data1, BinaryHeapValue data2",Null value that can be returned without creating a local variable,"heap->compare_func(data1, data2) | -heap->compare_func(data1, data2)","
static int binary_heap_cmp(BinaryHeap *heap, BinaryHeapValue data1,
                           BinaryHeapValue data2)
{
	if (heap->heap_type == BINARY_HEAP_TYPE_MIN) {
		return heap->compare_func(data1, data2);
	} else {
		return -heap->compare_func(data1, data2);
	}
}"
binary_heap_free,BinaryHeap *heap,,null,"
void binary_heap_free(BinaryHeap *heap)
{
	free(heap->values);
	free(heap);
}"
binary_heap_insert,"BinaryHeap *heap, BinaryHeapValue value",,0 | 1,"
int binary_heap_insert(BinaryHeap *heap, BinaryHeapValue value)
{
	BinaryHeapValue *new_values;
	unsigned int index;
	unsigned int new_size;
	unsigned int parent;

	/* Possibly realloc the heap to a larger size */
	if (heap->num_values >= heap->alloced_size) {

		/* Double the table size */
		new_size = heap->alloced_size * 2;
		new_values =
		    realloc(heap->values, sizeof(BinaryHeapValue) * new_size);

		if (new_values == NULL) {
			return 0;
		}

		heap->alloced_size = new_size;
		heap->values = new_values;
	}

	/* Add to the bottom of the heap and start from there */
	index = heap->num_values;
	++heap->num_values;

	/* Percolate the value up to the top of the heap */
	while (index > 0) {

		/* The parent index is found by halving the node index */
		parent = (index - 1) / 2;

		/* Compare the node with its parent */
		if (binary_heap_cmp(heap, heap->values[parent], value) < 0) {

			/* Ordered correctly - insertion is complete */
			break;

		} else {

			/* Need to swap this node with its parent */
			heap->values[index] = heap->values[parent];

			/* Advance up to the parent */
			index = parent;
		}
	}

	/* Save the new value in the final location */
	heap->values[index] = value;

	return 1;
}"
binomial_heap_merge_undo,"BinomialTree **new_roots, unsigned int count",,null,"static void binomial_heap_merge_undo(BinomialTree **new_roots,
                                     unsigned int count)
{
	unsigned int i;

	for (i = 0; i <= count; ++i) {
		binomial_tree_unref(new_roots[i]);
	}

	free(new_roots);
}"
binomial_heap_merge,"BinomialHeap *heap, BinomialHeap *other",,0 | 1,"static int binomial_heap_merge(BinomialHeap *heap, BinomialHeap *other)
{
	BinomialTree **new_roots;
	unsigned int new_roots_length;
	BinomialTree *vals[3];
	int num_vals;
	BinomialTree *carry;
	BinomialTree *new_carry;
	unsigned int max;
	unsigned int i;

	/* Find the maximum length of the two heaps.  Add one because
	 * after merging we may have one more value to carry over. */
	if (heap->roots_length > other->roots_length) {
		max = heap->roots_length + 1;
	} else {
		max = other->roots_length + 1;
	}

	/* Allocate an array for the new roots */
	new_roots = malloc(sizeof(BinomialTree *) * max);

	if (new_roots == NULL) {
		return 0;
	}

	/* Go through one entry at a time.  This works kind of like a
	 * ripple-carry adder. */
	new_roots_length = 0;
	carry = NULL;

	for (i = 0; i < max; ++i) {

		/* Build up 'vals' as a list of all the values we must
		 * merge at this step. */
		num_vals = 0;

		/* If there is a value in 'heap', add it */
		if (i < heap->roots_length && heap->roots[i] != NULL) {
			vals[num_vals] = heap->roots[i];
			++num_vals;
		}

		/* If there is a value in 'other', add it */
		if (i < other->roots_length && other->roots[i] != NULL) {
			vals[num_vals] = other->roots[i];
			++num_vals;
		}

		/* If there is a carried value from the previous iteration,
		 * add it */
		if (carry != NULL) {
			vals[num_vals] = carry;
			++num_vals;
		}

		/* When num_vals == 1 or 3, we store a value. */
		if ((num_vals & 1) != 0) {

			/* Save the last value into new_roots. */
			new_roots[i] = vals[num_vals - 1];
			binomial_tree_ref(new_roots[i]);
			new_roots_length = i + 1;

		} else {

			/* No value to store at this iteration */
			new_roots[i] = NULL;
		}

		/* When num_vals == 2 or 3, we must carry over to the
		 * next iteration */
		if ((num_vals & 2) != 0) {

			/* Merge the first two values and carry to the
			 * next iteration */
			new_carry = binomial_tree_merge(heap, vals[0], vals[1]);

			if (new_carry == NULL) {

				/* Remove references that we have added
				 * (freeing any BinomialTree structures
				 * that were created in the process) */
				binomial_heap_merge_undo(new_roots, i);

				/* Unreference the carry variable */
				binomial_tree_unref(carry);

				return 0;
			}

		} else {

			/* Nothing to carry */
			new_carry = NULL;
		}

		/* Unreference previous carried value */
		binomial_tree_unref(carry);

		/* Assign the new value of carry, and add a reference */
		carry = new_carry;

		binomial_tree_ref(carry);
	}

	/* Unreference all values in the old 'roots' array, freeing unused
	 * BinomialTree structures as necessary. */
	for (i = 0; i < heap->roots_length; ++i) {
		if (heap->roots[i] != NULL) {
			binomial_tree_unref(heap->roots[i]);
		}
	}

	/* Free the old roots array and use the new one */
	free(heap->roots);
	heap->roots = new_roots;
	heap->roots_length = new_roots_length;

	/* Merged successfully */
	return 1;
}"
binomial_heap_free,BinomialHeap *heap,,null,"
void binomial_heap_free(BinomialHeap *heap)
{
	unsigned int i;

	/* Unreference all trees in the heap.  This should free
	 * back all subtrees. */
	for (i = 0; i < heap->roots_length; ++i) {
		binomial_tree_unref(heap->roots[i]);
	}

	/* Free the heap itself */
	free(heap->roots);
	free(heap);
}"
binomial_heap_insert,"BinomialHeap *heap, BinomialHeapValue value",,0 | result,"
int binomial_heap_insert(BinomialHeap *heap, BinomialHeapValue value)
{
	BinomialHeap fake_heap;
	BinomialTree *new_tree;
	int result;

	/* Allocate an order 0 tree for storing the new value */
	new_tree = malloc(sizeof(BinomialTree));

	if (new_tree == NULL) {
		return 0;
	}

	/* Fill in values.  This has an initial reference count of 1 that
	 * the ""fake"" heap holds; this will be removed at the end of
	 * this function. */
	new_tree->value = value;
	new_tree->order = 0;
	new_tree->refcount = 1;
	new_tree->subtrees = NULL;

	/* Build a fake heap structure for merging */
	fake_heap.heap_type = heap->heap_type;
	fake_heap.compare_func = heap->compare_func;
	fake_heap.num_values = 1;
	fake_heap.roots = &new_tree;
	fake_heap.roots_length = 1;

	/* Perform the merge */
	result = binomial_heap_merge(heap, &fake_heap);

	if (result != 0) {
		++heap->num_values;
	}

	/* Remove reference to the new tree. */
	binomial_tree_unref(new_tree);

	return result;
}"
bloom_filter_free,BloomFilter *bloomfilter,,null,"
void bloom_filter_free(BloomFilter *bloomfilter)
{
	free(bloomfilter->table);
	free(bloomfilter);
}"
bloom_filter_insert,"BloomFilter *bloomfilter, BloomFilterValue value",,null,"
void bloom_filter_insert(BloomFilter *bloomfilter, BloomFilterValue value)
{
	unsigned int hash;
	unsigned int subhash;
	unsigned int index;
	unsigned int i;
	unsigned char b;

	/* Generate hash of the value to insert */
	hash = bloomfilter->hash_func(value);

	/* Generate multiple unique hashes by XORing with values in the
	 * salt table. */
	for (i = 0; i < bloomfilter->num_functions; ++i) {

		/* Generate a unique hash */
		subhash = hash ^ salts[i];

		/* Find the index into the table */
		index = subhash % bloomfilter->table_size;

		/* Insert into the table.
		 * index / 8 finds the byte index of the table,
		 * index % 8 gives the bit index within that byte to set. */
		b = (unsigned char) (1 << (index % 8));
		bloomfilter->table[index / 8] |= b;
	}
}"
